Country,Year,Coffee_Consumption_kg,Coffee_Price_USD_kg,Population_Millions,Coffee_Type_Americano,Coffee_Type_Cappuccino,Coffee_Type_Espresso,Coffee_Type_Latte,Coffee_Type_Mocha
Peru,2023,9.25393898058043,6.467453002363636,65.92947787799916,1,0,0,0,0
Greece,2011,9.981202707003789,4.346744038378242,82.4566803256807,0,0,0,0,1
Ethiopia,2020,3.3129155167663225,8.76749607084824,110.93886185508131,0,0,0,1,0
Israel,2005,2.436180471026238,11.748750027123547,43.13720708676692,0,0,1,0,0
Mexico,2019,4.637848857169699,8.999098575256165,65.48426225398772,0,0,0,0,1
Argentina,2004,5.693273446091323,9.059761448623924,119.11865996978378,0,0,0,1,0
Peru,2022,3.638569976606836,11.367855453621516,138.46090217862474,0,0,0,1,0
Netherlands,2008,4.411399294388468,6.798276891113539,133.80712298443183,0,0,0,0,1
Poland,2015,3.6069658855332616,12.270787708061752,72.16701186201222,0,0,0,1,0
United_Kingdom,2021,8.19408454745961,5.684248839963068,78.60900375331319,0,0,0,0,1
United_Kingdom,2013,7.700623545978086,8.353256658145865,79.83671088067175,0,0,0,1,0
Australia,2021,7.079612126087854,11.216089193180098,130.43861988641524,0,0,0,1,0
Malaysia,2007,5.097742856633638,13.112059079532177,126.15098653376212,0,0,0,1,0
Nigeria,2019,9.272327530513888,12.706841782815609,47.418346753256415,0,0,0,0,1
Australia,2018,9.75626033228016,11.938541592384675,25.26460372388325,0,0,0,1,0
Germany,2013,3.389114501003296,7.950060218900301,57.46720966232314,1,0,0,0,0
South_Korea,2006,3.784101131295024,5.345347479230963,43.97255110416077,1,0,0,0,0
Brazil,2004,6.205048224002957,6.3851763946228965,142.66632799742152,1,0,0,0,0
Australia,2017,2.7300045542579623,13.513171960341335,40.62143623635909,1,0,0,0,0
Pakistan,2001,5.491587190584903,13.430645071459256,27.9997955773134,1,0,0,0,0
South_Africa,2010,6.654330118221681,14.467169377929174,135.0223803213231,0,0,1,0,0
Chile,2021,6.176588569098665,4.835875170850958,13.885312049054582,0,0,0,1,0
Brazil,2007,4.6472686646242085,9.904899938052017,39.779641662542566,0,1,0,0,0
Argentina,2000,6.339566448617655,11.135513493946569,66.42756790608767,0,0,1,0,0
Philippines,2021,9.670407634070784,11.817231147735423,89.67099934579262,0,0,0,0,1
Russia,2011,3.648139234331008,11.082495585114732,49.82326155962264,0,0,1,0,0
South_Korea,2001,7.238650867152029,12.470125288925102,74.93886554122975,0,1,0,0,0
Pakistan,2017,2.347173553248415,7.954187339182757,30.62584677816037,0,0,1,0,0
Thailand ,2006,2.5313312358514795,5.973760493490303,86.56684391359732,0,0,0,1,0
Romania,2016,6.41462579378868,6.250417093654824,61.76470443366927,1,0,0,0,0
Norway,2021,2.839513442623596,4.131765584171808,127.5396934029991,0,0,0,1,0
Austria,2022,2.1787743074148587,7.853540593168446,62.94438587490921,0,0,1,0,0
Portugal,2013,3.372103981184177,5.00918455967975,67.12849726442549,0,1,0,0,0
Vietnam,2023,6.518793367996596,7.5363756206921,89.23407341201947,0,0,0,0,1
Ethiopia,2006,7.626727636151459,10.910310848828724,19.352330607464275,0,0,0,1,0
Denmark,2021,3.61982851313104,13.83925861145502,24.36248132923588,0,1,0,0,0
Pakistan,2002,7.346075497665396,13.23565996089568,118.74542433685882,0,0,0,0,1
Germany,2005,3.4598106487938347,6.779416331533346,41.73939809179251,1,0,0,0,0
Finland,2019,6.907659413050057,5.474914564178516,103.01984241033996,0,0,0,1,0
Italy,2001,5.295677439166391,6.123795011764044,15.516618526603118,0,0,0,1,0
Argentina,2016,7.230396074668934,14.680853170939676,123.45515238738396,1,0,0,0,0
Japan,2011,9.960422019833976,10.0442192765404,148.2459885269246,1,0,0,0,0
Peru,2011,9.502535721860497,6.007524453006323,56.679950835959865,0,0,1,0,0
Spain,2016,2.034254062688829,13.248207701554966,76.3239851853196,0,0,0,0,1
Turkey,2009,9.083510114898443,8.347103687438103,66.96408499613054,0,1,0,0,0
Thailand ,2002,2.531926361398132,13.891443671722,134.2339745472145,1,0,0,0,0
Colombia,2019,9.62437268927876,6.867448395179352,2.480171616835063,0,0,1,0,0
Czech_Republic,2017,4.254605432797478,8.325439346846597,98.36543885341158,0,0,0,0,1
Japan,2012,5.056278643290168,9.55442539069093,98.2028726477264,0,0,0,0,1
Sweden,2011,2.733105641405823,13.818768674979347,57.97536623639501,0,0,0,1,0
Brazil,2016,2.8981820666312768,13.556331747655614,33.68071267543517,0,0,1,0,0
Kenya,2003,7.813924521834557,10.317905773342655,36.71271953084032,0,0,1,0,0
Portugal,2022,9.554657885986334,6.439530607589798,120.26915406086978,0,0,0,1,0
Denmark,2009,6.885987959634476,8.436926689116627,10.849361359868896,0,1,0,0,0
Italy,2010,7.726800124214488,14.73196371902056,85.00979779487949,1,0,0,0,0
