Country,Year,Coffee_Consumption_kg,Coffee_Price_USD_kg,Population_Millions,Coffee_Type_Americano,Coffee_Type_Cappuccino,Coffee_Type_Espresso,Coffee_Type_Latte,Coffee_Type_Mocha,Year_diff,log_population,standardized_price,price_population_interaction,americano_ratio,yearly_trend,year_trend
Peru,2023,9.25393898058043,6.467453002363636,65.92947787799916,1,0,0,0,0,0,4.188585653755145,-0.9502394223952739,426.3957996463326,1.0,0.0,1.0
Greece,2011,9.981202707003789,4.346744038378242,82.4566803256807,0,0,0,0,1,12,4.412273068472754,-1.6232142396418245,358.418083630113,0.0,0.0,0.4782608695652174
Ethiopia,2020,3.3129155167663225,8.76749607084824,110.93886185508131,0,0,0,1,0,3,4.708979255471176,-0.22035564769582255,972.6560354188011,0.0,0.0,0.8695652173913043
Israel,2005,2.436180471026238,11.748750027123547,43.13720708676692,0,0,1,0,0,18,3.7643858981783365,0.7257000678510792,506.8082629306869,0.0,0.0,0.21739130434782608
Mexico,2019,4.637848857169699,8.999098575256165,65.48426225398772,0,0,0,0,1,4,4.181809842840036,-0.14686010647603284,589.299331151562,0.0,0.0,0.8260869565217391
Argentina,2004,5.693273446091323,9.059761448623924,119.11865996978378,0,0,0,1,0,19,4.780120138898306,-0.12760966390630002,1079.186643405989,0.0,0.0,0.17391304347826086
Peru,2022,3.638569976606836,11.367855453621516,138.46090217862474,0,0,0,1,0,1,4.930587991035561,0.6048289533578328,1574.0035219446345,0.0,0.0,0.9565217391304348
Netherlands,2008,4.411399294388468,6.798276891113539,133.80712298443183,0,0,0,0,1,15,4.896399382334178,-0.8452574801046804,909.6578720514502,0.0,0.0,0.34782608695652173
Poland,2015,3.6069658855332616,12.270787708061752,72.16701186201222,0,0,0,1,0,8,4.278983042070323,0.8913608062604543,885.5460820839262,0.0,0.0,0.6521739130434783
United_Kingdom,2021,8.19408454745961,5.684248839963068,78.60900375331319,0,0,0,0,1,2,4.364486244443501,-1.1987773816387424,446.83313839542296,0.0,0.0,0.9130434782608695
United_Kingdom,2013,7.700623545978086,8.353256658145865,79.83671088067175,0,0,0,1,0,10,4.379983434770242,-0.35180824104734465,666.8965367284377,0.0,0.0,0.5652173913043478
Australia,2021,7.079612126087854,11.216089193180098,130.43861988641524,0,0,0,1,0,2,4.870902770417547,0.5566682329953291,1463.0111948813485,0.0,-0.13600938761576153,0.9130434782608695
Malaysia,2007,5.097742856633638,13.112059079532177,126.15098653376212,0,0,0,1,0,16,4.837479495379612,1.1583255133865584,1654.099188371957,0.0,0.0,0.30434782608695654
Nigeria,2019,9.272327530513888,12.706841782815609,47.418346753256415,0,0,0,0,1,4,3.8590092161167284,1.0297359516720204,602.5374297963175,0.0,0.9992733303888721,0.8260869565217391
Australia,2018,9.75626033228016,11.938541592384675,25.26460372388325,0,0,0,1,0,5,3.2294043538349255,0.7859275418305894,301.62252237269695,0.0,0.0,0.782608695652174
Germany,2013,3.389114501003296,7.950060218900301,57.46720966232314,1,0,0,0,0,10,4.051214518397176,-0.47975651430112437,456.8677774276382,1.0,-0.5598908996436559,0.5652173913043478
South_Korea,2006,3.784101131295024,5.345347479230963,43.97255110416077,1,0,0,0,0,17,3.7835656007082323,-1.3063225871226132,235.04856519998046,1.0,0.0,0.2608695652173913
Brazil,2004,6.205048224002957,6.3851763946228965,142.66632799742152,1,0,0,0,0,19,4.96050853306102,-0.9763486556744764,910.9496698366636,1.0,0.0898911290240223,0.17391304347826086
Australia,2017,2.7300045542579623,13.513171960341335,40.62143623635909,1,0,0,0,0,6,3.7042959133892785,1.2856126009794224,548.9244531379611,1.0,0.0,0.7391304347826086
Pakistan,2001,5.491587190584903,13.430645071459256,27.9997955773134,1,0,0,0,0,22,3.332197209338317,1.2594239447769366,376.0553164723109,1.0,0.0,0.043478260869565216
South_Africa,2010,6.654330118221681,14.467169377929174,135.0223803213231,0,0,1,0,0,13,4.905440544856367,1.5883492087166449,1953.3916459197526,0.0,0.0,0.43478260869565216
Chile,2021,6.176588569098665,4.835875170850958,13.885312049054582,0,0,0,1,0,2,2.630831594330831,-1.467995895175162,67.14763577754069,0.0,-0.12755268804368725,0.9130434782608695
Brazil,2007,4.6472686646242085,9.904899938052017,39.779641662542566,0,1,0,0,0,16,3.683355265404926,0.140582214437085,394.0133702390493,0.0,-0.08836738232553887,0.30434782608695654
Argentina,2000,6.339566448617655,11.135513493946569,66.42756790608767,0,0,1,0,0,23,4.196112149627856,0.5310987572270497,739.7050787882913,0.0,0.0,0.0
Philippines,2021,9.670407634070784,11.817231147735423,89.67099934579262,0,0,0,0,1,2,4.496147409607917,0.7474315125760583,1059.6629265176634,0.0,0.5656551388984559,0.9130434782608695
Russia,2011,3.648139234331008,11.082495585114732,49.82326155962264,0,0,1,0,0,12,3.9084819745643684,0.514274328173924,552.1660762705344,0.0,-0.6344990336914893,0.4782608695652174
South_Korea,2001,7.238650867152029,12.470125288925102,74.93886554122975,0,1,0,0,0,22,4.316672655023439,0.9546175634723348,934.497042309047,0.0,0.3181345603621468,0.043478260869565216
Pakistan,2017,2.347173553248415,7.954187339182757,30.62584677816037,0,0,1,0,0,6,3.421844318381754,-0.47844683529046916,243.60372269459424,0.0,-0.14023090196404597,0.7391304347826086
Thailand ,2006,2.5313312358514795,5.973760493490303,86.56684391359732,0,0,0,1,0,17,4.460916877517912,-1.1069052504637549,517.1295922171892,0.0,-0.33106142039465314,0.2608695652173913
Romania,2016,6.41462579378868,6.250417093654824,61.76470443366927,1,0,0,0,0,7,4.123332075640474,-1.0191124754542686,386.0551643767443,1.0,0.0,0.6956521739130435
Norway,2021,2.839513442623596,4.131765584171808,127.5396934029991,0,0,0,1,0,2,4.84842763695605,-1.6914343907273544,526.9641158183359,0.0,-0.7063708635591098,0.9130434782608695
Austria,2022,2.1787743074148587,7.853540593168446,62.94438587490921,0,0,1,0,0,1,4.142251572635703,-0.5103855532643643,494.336289580658,0.0,-0.4012003832762111,0.9565217391304348
Portugal,2013,3.372103981184177,5.00918455967975,67.12849726442549,0,1,0,0,0,10,4.206608652245395,-1.412998789841584,336.2590320114645,0.0,-0.005019163505418089,0.5652173913043478
Vietnam,2023,6.518793367996596,7.5363756206921,89.23407341201947,0,0,0,0,1,0,4.491262955570754,-0.6110330456898012,672.5014953973927,0.0,-0.29556555520017913,1.0
Ethiopia,2006,7.626727636151459,10.910310848828724,19.352330607464275,0,0,0,1,0,17,2.96281285705309,0.45963411426311995,211.13994257673764,0.0,2.012931507395558,0.2608695652173913
Denmark,2021,3.61982851313104,13.83925861145502,24.36248132923588,0,1,0,0,0,2,3.193044298460307,1.3890912527730037,337.1586795320398,0.0,0.27480590822153816,0.9130434782608695
Pakistan,2002,7.346075497665396,13.23565996089568,118.74542433685882,0,0,0,0,1,21,4.776981910272242,1.1975483779850074,1571.6740584349297,0.0,0.0,0.08695652173913043
Germany,2005,3.4598106487938347,6.779416331533346,41.73939809179251,1,0,0,0,0,18,3.7314454811280338,-0.8512425925610332,282.9687570918699,1.0,0.420178303677311,0.21739130434782608
Finland,2019,6.907659413050057,5.474914564178516,103.01984241033996,0,0,0,1,0,4,4.634921614436599,-1.2652064383277855,564.0248356117459,0.0,-0.2550242223090211,0.8260869565217391
Italy,2001,5.295677439166391,6.123795011764044,15.516618526603118,0,0,0,1,0,22,2.7419116125755965,-1.0592940722065576,95.02059113265773,0.0,-0.2684165134697373,0.043478260869565216
Argentina,2016,7.230396074668934,14.680853170939676,123.45515238738396,1,0,0,0,0,7,4.815877951553564,1.656158518712461,1812.4269653951667,1.0,0.12717347934312384,0.6956521739130435
Japan,2011,9.960422019833976,10.0442192765404,148.2459885269246,1,0,0,0,0,12,4.998872978671431,0.1847930929453419,1489.015215631923,1.0,1.7302746359297076,0.4782608695652174
Peru,2011,9.502535721860497,6.007524453006323,56.679950835959865,0,0,1,0,0,12,4.037420547425489,-1.0961907701316154,340.5061906422251,0.0,-0.04597057203617472,0.4782608695652174
Spain,2016,2.034254062688829,13.248207701554966,76.3239851853196,0,0,0,0,1,7,4.3349872425655605,1.2015302131262005,1011.1560083455182,0.0,-0.7186524719142757,0.6956521739130435
Turkey,2009,9.083510114898443,8.347103687438103,66.96408499613054,0,1,0,0,0,14,4.204156430833698,-0.35376079295705953,558.9561607971198,0.0,0.0,0.391304347826087
Thailand ,2002,2.531926361398132,13.891443671722,134.2339745472145,1,0,0,0,0,21,4.899584356038192,1.405651389968903,1864.7036962539948,1.0,-0.6553361911128213,0.08695652173913043
Colombia,2019,9.62437268927876,6.867448395179352,2.480171616835063,0,0,1,0,0,4,0.9083277581193769,-0.8233069526641409,17.032450589803332,0.0,0.3932899863441799,0.8260869565217391
Czech_Republic,2017,4.254605432797478,8.325439346846597,98.36543885341158,0,0,0,0,1,6,4.588689511197579,-0.3606356427822506,818.9354950000258,0.0,0.8126505502370018,0.7391304347826086
Japan,2012,5.056278643290168,9.55442539069093,98.2028726477264,0,0,0,0,1,11,4.587035467964395,0.029364433748947556,938.272019864225,0.0,0.0,0.5217391304347826
Sweden,2011,2.733105641405823,13.818768674979347,57.97536623639501,0,0,0,1,0,12,4.060018200265152,1.382589082277532,801.1481748679507,0.0,-0.7123814399225736,0.4782608695652174
Brazil,2016,2.8981820666312768,13.556331747655614,33.68071267543517,0,0,1,0,0,7,3.5169253493472583,1.299308704722787,456.5869145256686,0.0,0.42469031759018727,0.6956521739130435
Kenya,2003,7.813924521834557,10.317905773342655,36.71271953084032,0,0,1,0,0,20,3.6031232762369334,0.271643350711129,378.798380802367,0.0,0.0,0.13043478260869565
Portugal,2022,9.554657885986334,6.439530607589798,120.26915406086978,0,0,0,1,0,1,4.789732181630788,-0.9591001707766532,774.4768987239038,0.0,3.385336220217801,0.9565217391304348
Denmark,2009,6.885987959634476,8.436926689116627,10.849361359868896,0,1,0,0,0,14,2.384106217412525,-0.3252568260451919,91.53526641694855,0.0,-0.24192433623866083,0.391304347826087
Italy,2010,7.726800124214488,14.73196371902056,85.00979779487949,1,0,0,0,0,13,4.442766518022504,1.6723776757671212,1252.3612568754388,1.0,0.16116874079571764,0.43478260869565216
Pakistan,2005,8.095757956777227,10.685505462651424,46.71924984376157,0,0,0,1,0,18,3.8441562819647297,0.388295535397307,499.2187994164909,0.0,1.3399424935580173,0.21739130434782608
Mexico,2005,4.102514196423534,12.592075306366164,40.52192405777974,1,0,0,0,0,18,3.7018431624036827,0.9933165514496297,510.25511929441325,1.0,-0.49325137703886224,0.21739130434782608
Denmark,2008,2.3618370473617194,8.948511648975618,76.35491216412436,0,0,1,0,0,15,4.335392367042678,-0.16291310009602397,683.2628209571769,0.0,-0.46460592439090687,0.34782608695652173
Saudi_Arabia,2014,2.0149819513533487,9.85208003013487,134.78136443568528,0,0,0,1,0,9,4.903653942895271,0.12382061797043914,1327.876788991145,0.0,0.0,0.6086956521739131
Colombia,2001,4.805194263632149,8.718495234557984,93.0956959365623,0,1,0,0,0,22,4.533627952672599,-0.23590531971936682,811.6543813807775,0.0,-0.0926195337931024,0.043478260869565216
Indonesia,2003,3.9317138255937287,11.732130978681647,118.5029835355432,1,0,0,0,0,20,4.77493813777337,0.7204262649493454,1390.2925242035476,1.0,-0.49683237730191965,0.13043478260869565
Malaysia,2004,2.498541800393485,13.36618115275565,90.50188311016926,1,0,0,0,0,19,4.505370658336575,1.2389672981340953,1209.6645643160393,1.0,-0.5973372469969873,0.17391304347826086
Czech_Republic,2016,3.436226339949334,9.580998975470198,104.95965120103835,1,0,0,0,0,7,4.653576002029419,0.0377971577408364,1005.6183106228578,1.0,0.18564888642191368,0.6956521739130435
Nigeria,2007,2.9959911861435824,9.289542044998484,65.42873967020105,0,0,1,0,0,16,4.180961606434185,-0.05469227756142005,607.8030281175929,0.0,-0.3553221467591121,0.30434782608695654
Turkey,2007,9.319027044938965,7.743151138082366,138.9712636460194,1,0,0,0,0,16,4.934267175398212,-0.545415972159228,1076.0754982614196,1.0,2.1104988185677365,0.30434782608695654
Brazil,2021,3.1221377076733514,5.948063637234922,75.78891404543498,0,0,0,0,1,2,4.32795202925361,-1.1150597579591055,450.7972837391749,0.0,-0.13749016110909662,0.9130434782608695
France,2011,6.3011877119014335,14.331724951626198,83.21442571478771,1,0,0,0,0,12,4.421420718792593,1.5453679748055982,1192.6062613518677,1.0,1.3055046304980378,0.4782608695652174
Austria,2020,6.744847640897317,7.476876905474555,79.21985998497259,0,0,1,0,0,3,4.372227024772019,-0.6299140603315669,592.3171415765694,0.0,1.0359250354445626,0.8695652173913043
Turkey,2007,6.34791566166907,12.80760609931714,48.11216400457285,0,0,0,1,0,16,3.873535035048412,1.0617119788564173,616.2016451563137,0.0,-0.31882205824088306,0.30434782608695654
Greece,2018,2.792451473727904,11.868817234162217,35.454526904278666,1,0,0,0,0,5,3.5682509431125315,0.76380157451058,420.8032999505706,1.0,-0.7137784992792138,0.782608695652174
Spain,2002,4.55038689400441,12.70009360305942,12.001409653217696,1,0,0,0,0,21,2.4850241139902853,1.0275945192004787,152.41902596452562,1.0,0.7972034903462522,0.08695652173913043
Sweden,2017,2.410162659705226,14.304449467093129,108.00807231837976,0,0,0,1,0,6,4.682205968019751,1.5367125135750963,1544.9960125164034,0.0,-0.43351676253548566,0.7391304347826086
Pakistan,2020,5.165359312770528,10.85707836242987,44.10201421238524,0,0,0,0,1,3,3.7865054551600186,0.4427415922743769,478.8190242448624,0.0,-0.23417702107154748,0.8695652173913043
Switzerland,2018,3.508791450172736,13.87745377720249,58.99049651614547,0,0,1,0,0,5,4.077376354934053,1.401211909178539,818.6378886970333,0.0,0.25652727833745415,0.782608695652174
Canada,2018,6.493060266275038,5.844670552035231,138.06929624620568,0,0,0,1,0,5,4.92775570583537,-1.1478699850098073,806.9695499104267,0.0,0.850511880937064,0.782608695652174
Malaysia,2014,7.542467150792804,10.893838335524665,85.40065506236918,0,0,1,0,0,9,4.447353771284651,0.4544068120643507,930.3409299973559,0.0,2.7431934046490882,0.6086956521739131
Colombia,2005,6.256958881637652,12.49503174206074,15.4646315216868,0,0,0,1,0,18,2.7385555792567833,0.9625212485285422,193.23106174274966,0.0,0.5251522802997994,0.21739130434782608
Egypt,2015,5.473893572891166,6.988052438185915,120.1421750107536,0,1,0,0,0,8,4.788675833226457,-0.7850350892543647,839.5598190128557,0.0,0.5175895050312886,0.6521739130434783
Morocco,2007,5.098667366853539,12.148291814211614,39.16345926730887,0,0,0,0,1,16,3.667744150515416,0.852488592686024,475.7691316332584,0.0,-0.1967966118956066,0.30434782608695654
Ethiopia,2015,8.73353414477603,12.563245120278603,83.35317055428119,0,1,0,0,0,8,4.423086647516903,0.9841677292665997,1047.1863132258234,0.0,0.5954884815495614,0.6521739130434783
Mexico,2017,3.754944520522161,13.143067516180892,76.9872397547346,0,0,0,1,0,6,4.343639690650047,1.1681655703397549,1011.8484899808825,0.0,0.5579631131541172,0.7391304347826086
Colombia,2019,7.873746716230951,7.441712038555261,36.47374751043022,0,0,0,1,0,4,3.5965927555171575,-0.6410730973754986,271.42712593959357,0.0,-0.18189507301581842,0.8260869565217391
Poland,2015,8.059858597920952,11.4976724918514,18.249884184392577,0,0,1,0,0,8,2.9041587339476833,0.6460244210348614,209.83119136636446,0.0,-0.07713664774048401,0.6521739130434783
Nigeria,2010,5.353600058165876,7.346786117507383,32.47797936775024,0,0,0,1,0,13,3.4805623017742118,-0.6711963983347697,238.60876794367866,0.0,-0.3071387932776213,0.43478260869565216
Argentina,2006,4.378404793805115,12.129444262483007,15.503332135030874,0,0,1,0,0,17,2.741054977274679,0.8465076080740348,188.04680301461866,0.0,-0.42591305174567484,0.2608695652173913
Vietnam,2016,5.764331888367802,9.092710316602837,42.06857482386308,0,0,1,0,0,7,3.7393010207239574,-0.11715384050801576,382.5173643057182,0.0,0.6775181021552832,0.6956521739130435
Iraq,2016,2.745711407141588,10.57298811979942,149.59732909988222,0,0,0,1,0,7,5.0079472117705865,0.3525898636013085,1581.6907833267787,0.0,-0.5236722207681471,0.6956521739130435
Spain,2011,2.36744025783272,8.574239795736258,60.911747520966,0,0,1,0,0,12,4.10942605465135,-0.2816825947846978,522.2719296221061,0.0,-0.6242866637092571,0.4782608695652174
Denmark,2012,2.8928255956151343,5.781812196228067,129.71937030891652,0,0,0,0,1,11,4.865373427194499,-1.1678171306248508,750.0130373391186,0.0,-0.4278745694812528,0.5217391304347826
Australia,2009,3.4971602516978093,5.958324825659,82.82747612723016,0,1,0,0,0,14,4.416759843630787,-1.1118035254813359,493.5130072555536,0.0,-0.49213384162184237,0.391304347826087
Sweden,2006,6.033414562704344,4.853257979883479,100.3208788207262,0,0,0,1,0,17,4.6083738370209435,-1.4624797244367176,486.8831056856129,0.0,0.37799377783453414,0.2608695652173913
Thailand ,2013,8.793093089288977,10.79879947693828,24.29584749283288,0,0,1,0,0,10,3.19030545067538,0.4242476720905671,262.36598519737595,0.0,1.6075984425015029,0.5652173913043478
Iraq,2022,3.885138655997496,13.335022377483652,41.94607424587434,0,0,1,0,0,1,3.7363848467910086,1.2290795334995301,559.351838716325,0.0,-0.5933775230512683,0.9565217391304348
Belgium,2000,9.481296085974224,4.229205088882891,77.0560700313099,0,0,1,0,0,23,4.344533339082448,-1.660513442125193,325.88592350573225,0.0,0.49557484140601193,0.0
Greece,2016,9.639263271480027,4.7286345229718885,132.29037169979924,0,0,1,0,0,7,4.884999292205009,-1.502027087872245,625.552818676454,0.0,2.5106614797200937,0.6956521739130435
Ethiopia,2003,9.671236838761642,9.032136915332014,7.390317346856085,0,0,0,0,1,20,2.0001706767791103,-0.1363758904651331,66.7503581245574,0.0,1.4598018237762225,0.13043478260869565
Iraq,2020,8.700501877410591,12.114928097850084,76.53107397529241,0,0,0,1,0,3,4.337696854112784,0.8419011234470243,927.1684584619135,0.0,0.6843943181067744,0.8695652173913043
United_States,2004,4.910600326381765,5.7347840918314645,8.600819663756056,0,0,0,1,0,19,2.1518575084568536,-1.182740786109514,49.32384378441947,0.0,0.9653865008816,0.17391304347826086
Thailand ,2019,2.5814712880209845,6.988164515041133,69.0665787909431,0,0,0,0,1,4,4.235070949384504,-0.784999523364637,482.64861508216103,0.0,-0.6721419444824741,0.8260869565217391
Italy,2023,6.550549854131959,6.552068214099879,94.70135574056287,0,0,0,0,1,0,4.550728316251784,-0.9233880686161758,620.4897427799071,0.0,0.004871528263385105,1.0
Japan,2022,6.46945155149787,8.389563405382695,111.9637555228178,0,0,0,0,1,1,4.718175207518213,-0.34028684560767747,939.327026063447,0.0,0.6651790642043021,0.9565217391304348
Australia,2006,8.799806136876764,6.474985447193283,21.64126878383338,0,0,0,1,0,17,3.074602083675117,-0.9478491153004593,140.1269004341194,0.0,0.45851176732872245,0.2608695652173913
United_States,2009,9.96792840756884,7.878585463992283,25.819717235740864,1,0,0,0,0,14,3.251138433992955,-0.5024379434546896,203.42284889789897,1.0,1.850292148530965,0.391304347826087
Pakistan,2016,6.065258452481181,12.013968585281386,71.0396733320768,0,1,0,0,0,7,4.263238500307306,0.8098631537519575,853.4684037202226,0.0,-0.3707757240715025,0.6956521739130435
Mexico,2006,4.761632248318274,10.72110173299608,149.70743223888203,0,0,0,0,1,17,5.008682937747506,0.3995914717736193,1605.0286112186716,0.0,-0.4588935058053134,0.2608695652173913
Australia,2000,3.487213692450136,4.892998759308622,54.05097851285775,0,0,0,0,1,23,3.9899276477670016,-1.449868590978494,264.47137080282994,0.0,-0.6322007391364134,0.0
United_Kingdom,2006,2.038398598538966,11.015202328702896,64.70158667707364,0,0,0,1,0,17,4.169785724808531,0.4929198341321891,712.7010682360738,0.0,-0.5719117957379231,0.2608695652173913
Indonesia,2023,6.072909539911033,9.24784888715135,65.43456467936818,0,0,0,1,0,0,4.181050630766864,-0.06792296869306769,605.128966151328,0.0,-0.07291606427812158,1.0
Mexico,2010,6.444149333620766,14.280221321778528,13.02442238220722,0,1,0,0,0,13,2.566826239800588,1.5290240792155438,185.99163420624504,0.0,0.203703912060347,0.43478260869565216
Saudi_Arabia,2008,8.599507838539179,7.182347488144586,116.3516496482093,0,0,1,0,0,15,4.75661706797361,-0.7233785027267535,835.6779785922951,0.0,2.641025043681665,0.34782608695652173
